date,amount,category,type,balance
2024-01-01,6000,salary,credit,6000
2024-01-05,1500,rent,debit,4500
2024-01-10,150,utilities,debit,4350
2024-01-12,300,groceries,debit,4050
2024-01-15,100,transportation,debit,3950
2024-01-20,200,entertainment,debit,3750
2024-01-25,50,subscriptions,debit,3700
2024-02-01,6000,salary,credit,9700
2024-02-05,1500,rent,debit,8200
2024-02-10,145,utilities,debit,8055
2024-02-12,280,groceries,debit,7775
2024-02-15,110,transportation,debit,7665
2024-02-20,150,entertainment,debit,7515
2024-02-25,50,subscriptions,debit,7465
2024-03-01,6000,salary,credit,13465
2024-03-05,1500,rent,debit,11965
2024-03-10,160,utilities,debit,11805
2024-03-12,320,groceries,debit,11485
2024-03-15,95,transportation,debit,11390
2024-03-20,180,entertainment,debit,11210
2024-03-25,50,subscriptions,debit,11160
2024-04-01,6000,salary,credit,17160
2024-04-05,1500,rent,debit,15660
2024-04-10,155,utilities,debit,15505
2024-04-12,290,groceries,debit,15215
2024-04-15,105,transportation,debit,15110
2024-04-20,200,entertainment,debit,14910
2024-04-25,50,subscriptions,debit,14860
