date,amount,category,type,balance
2024-01-01,4500,salary,credit,4500
2024-01-03,1400,rent,debit,3100
2024-01-08,200,utilities,debit,2900
2024-01-10,450,groceries,debit,2450
2024-01-15,300,shopping,debit,2150
2024-01-18,150,entertainment,debit,2000
2024-01-22,500,unexpected_expense,debit,1500
2024-01-28,100,subscriptions,debit,1400
2024-02-01,4500,salary,credit,5900
2024-02-05,1400,rent,debit,4500
2024-02-09,180,utilities,debit,4320
2024-02-12,380,groceries,debit,3940
2024-02-16,250,shopping,debit,3690
2024-02-20,200,entertainment,debit,3490
2024-02-25,100,subscriptions,debit,3390
2024-03-01,4200,salary,credit,7590
2024-03-06,1400,rent,debit,6190
2024-03-10,220,utilities,debit,5970
2024-03-14,420,groceries,debit,5550
2024-03-17,350,shopping,debit,5200
2024-03-20,180,entertainment,debit,5020
2024-03-28,100,subscriptions,debit,4920
2024-04-01,4500,salary,credit,9420
2024-04-04,1400,rent,debit,8020
2024-04-10,195,utilities,debit,7825
2024-04-13,400,groceries,debit,7425
2024-04-18,280,shopping,debit,7145
2024-04-22,220,entertainment,debit,6925
2024-04-25,100,subscriptions,debit,6825
