date,amount,category,type,balance
2024-01-01,3000,salary,credit,3000
2024-01-02,1500,rent,debit,1500
2024-01-05,250,utilities,debit,1250
2024-01-08,600,shopping,debit,650
2024-01-10,400,entertainment,debit,250
2024-01-15,500,cash_withdrawal,debit,-250
2024-01-18,200,food,debit,-450
2024-01-22,800,unexpected_expense,debit,-1250
2024-01-25,1000,loan_payment,credit,-250
2024-01-28,300,shopping,debit,-550
2024-02-01,2800,salary,credit,2250
2024-02-03,1500,rent,debit,750
2024-02-07,280,utilities,debit,470
2024-02-10,550,shopping,debit,-80
2024-02-14,350,entertainment,debit,-430
2024-02-18,600,cash_withdrawal,debit,-1030
2024-02-22,1200,unexpected_expense,debit,-2230
2024-02-25,500,loan_payment,credit,-1730
2024-02-28,250,food,debit,-1980
2024-03-01,3200,salary,credit,1220
2024-03-05,1500,rent,debit,-280
2024-03-09,220,utilities,debit,-500
2024-03-12,700,shopping,debit,-1200
2024-03-16,400,entertainment,debit,-1600
2024-03-20,300,cash_withdrawal,debit,-1900
2024-03-24,500,loan_payment,credit,-1400
2024-03-28,350,food,debit,-1750
2024-04-01,2900,salary,credit,1150
2024-04-04,1500,rent,debit,-350
2024-04-08,240,utilities,debit,-590
2024-04-12,650,shopping,debit,-1240
2024-04-16,380,entertainment,debit,-1620
